tweets,id,len,date,source,likes,retweets,polarity,sentiment,companies
RT Thank you for NET bought it after you gave it a in Feb 2020 on Mad Money You re the best,1456632261445627909,123,2021-11-05 14:39:28,Twitter for iPhone,0,1,0.125,wpositive,None
RT When made his F call for the club I bought LEAPS A few months later we re up over 800 Thank you Jim An,1456632231653515269,140,2021-11-05 14:39:21,Twitter for iPhone,0,2,-0.1,wnegative,None
Join the investing club,1456632028049330182,72,2021-11-05 14:38:33,Twitter for iPhone,53,3,0.0,neutral,None
Ralph Lauren has a very good q and it got crushed Now it is coming back and i think it can take out the high,1456631709701709825,109,2021-11-05 14:37:17,TweetDeck,76,4,0.2425,wpositive,None
thanks much,1456629898404110338,36,2021-11-05 14:30:05,TweetDeck,36,2,0.2,wpositive,None
thank you so much for these kind words sign up for free right now,1456629517729116176,124,2021-11-05 14:28:34,TweetDeck,34,0,0.37142857142857144,positive,None
and one of my fave scenes He was an amazing man I covered his death when i was a reporter at the Los Angeles Herald Examiner,1456628935018549251,155,2021-11-05 14:26:15,TweetDeck,124,1,0.6000000000000001,spositive,None
RT PFE,1456628479471104010,49,2021-11-05 14:24:27,TweetDeck,0,13,0.0,neutral,None
RT MadDash BA with Boeing was a great company but now it s just a good company Who are these guys We re di,1456628248830414851,140,2021-11-05 14:23:32,TweetDeck,0,5,0.75,spositive,None
RT We ve surpassed Goldman s year end S amp P target,1456628177267269632,95,2021-11-05 14:23:14,TweetDeck,0,59,0.0,neutral,None
RT We have an overwhelming therapeutic toolbox to eliminate death and suffering from Covid For U S the end of the pand,1456606695518507010,140,2021-11-05 12:57:53,TweetDeck,0,658,0.5,positive,None
RT This is tremendous news gt,1456606596931506179,70,2021-11-05 12:57:29,TweetDeck,0,29,0.3333333333333333,positive,None
I try hard make mistakes try harder try to get it right thank you,1456531356922617869,96,2021-11-05 07:58:31,TweetDeck,289,1,-0.03531746031746034,wnegative,None
yes,1456531202756780042,27,2021-11-05 07:57:54,TweetDeck,102,1,0.0,neutral,None
not quite sure when i do i guess when i am really tired,1456531107604799491,81,2021-11-05 07:57:31,TweetDeck,54,1,0.04999999999999999,wpositive,None
I am still on board here and liked the call will only get better as it gets harder to catch Covid because there are fewer to give it to you You can t get it spontaneously,1456529935821123585,199,2021-11-05 07:52:52,TweetDeck,62,2,0.32,positive,None
payment volume lift but not much more,1456529649585037312,64,2021-11-05 07:51:44,TweetDeck,34,0,-0.25,wnegative,None
I didn t see anything really dazzling about that Square story I didn t used to feel that way,1456529437193908225,96,2021-11-05 07:50:53,TweetDeck,146,6,0.75,spositive,None
I like but did not love UBER i don t see the leverage in the model Peloton a convoluted call that was meant to reassure but didn t,1456434758200737794,139,2021-11-05 01:34:40,TweetDeck,173,11,-0.25,wnegative,None
RT I bought Nvidia because of your recommendation several years ago Thank you Jim,1456380539166994441,113,2021-11-04 21:59:13,Twitter for iPhone,0,2,0.0,neutral,None
RT I love Nvidia and today it was on a tare Great day in the market I love your investment club Thanks Jim,1456380478534074369,140,2021-11-04 21:58:58,Twitter for iPhone,0,2,0.5,positive,None
Paypal crunch time Now going down on Square s q If Square were up it would go down too Will the sellers his 225 bids All over this,1456374322109558795,137,2021-11-04 21:34:31,TweetDeck,191,12,-0.15555555555555559,wnegative,None
RT Inspiring discussion between and We all need to embrace nature based solutions It s why,1456361449756975104,140,2021-11-04 20:43:22,Twitter for iPhone,0,9,0.5,positive,None
Giant CNBC investing club name Right along with Nvidia,1456352358041104388,80,2021-11-04 20:07:14,TweetDeck,110,3,0.14285714285714285,wpositive,None
Nvidia s the top dog and these are MY dogs NVDA,1456351017252134918,73,2021-11-04 20:01:54,Twitter for iPhone,732,30,0.5,positive,None
subject of tonight s top,1456350002301841412,48,2021-11-04 19:57:52,TweetDeck,82,3,0.16666666666666669,wpositive,None
Trust MA but do not trust PYPL that s usually how it goes you need a positive close to bring out the scaredy cat analysts They will only get behind a stock once it has bottomed They are waiting for Affirm to stop going up before they push Pay Pal They fear Fiserve GPN,1456349886622978052,274,2021-11-04 19:57:25,TweetDeck,85,6,-0.10568181818181818,wnegative,None
Nvidia up 16 5 just sent out a bulletin to club members of,1456334961116684292,85,2021-11-04 18:58:06,Twitter for iPhone,162,9,0.0,neutral,None
Huge Huge club name and with a basis that is much lower Remember i renamed my dog Everest as Nvidia I have pushed endlessly for you to consider Nvidia,1456329342917611537,205,2021-11-04 18:35:47,TweetDeck,103,5,0.21875000000000006,wpositive,None
If club name Mastercard finishes up this much i believe the analyst community will come out in full force to recommend the company s shares,1456328626056609792,167,2021-11-04 18:32:56,TweetDeck,32,0,0.275,wpositive,Mastercard
We think Ford is showing a lot of confidence here club members check your email for our take Not a member Sign up at,1456306665473593345,145,2021-11-04 17:05:40,Twitter for iPhone,54,0,0.0,neutral,None
RT great to Jane Goodall on madmoney talking about planting more trees amp how spending time in nature is good for mental health t,1456297778120888321,144,2021-11-04 16:30:21,Twitter for iPhone,0,7,0.475,positive,None
RT Thanks you helped me make a crazy return last on UPST I ve took your recommendation on U and tha,1456297662244958209,140,2021-11-04 16:29:54,Twitter for iPhone,0,2,-0.13333333333333333,wnegative,None
RT This simple tweet gives great insight This is why I m such a fan,1456297603772129281,95,2021-11-04 16:29:40,Twitter for iPhone,0,1,0.26666666666666666,wpositive,None
MA one of our names making a bold stand v Paypal,1456297557563428866,53,2021-11-04 16:29:29,TweetDeck,57,2,0.3333333333333333,positive,None
RT The investing club is great and Jim works incredibly hard I dont know how he does it with everyting he s doi,1456297553977303045,140,2021-11-04 16:29:28,Twitter for iPhone,0,1,0.25416666666666665,wpositive,None
RT Thank you for being a great ambassador for the power of trees and our forest conservation champion,1456297000052445186,140,2021-11-04 16:27:16,Twitter for iPhone,0,9,0.8,spositive,None
RT What you are doing for all of us is beyond amazing Thank you is not enough,1456296791817785345,105,2021-11-04 16:26:26,Twitter for iPhone,0,2,0.30000000000000004,positive,None
RT Blessed to be learning from the legends of the business Thank you for the time this morning,1456296766832267270,140,2021-11-04 16:26:20,Twitter for iPhone,0,9,0.0,neutral,None
RT Thanks for showing the list of charitable Trust Portfolio holdings Looks like your going to attach that to the bo,1456296565107220483,140,2021-11-04 16:25:32,Twitter for iPhone,0,6,0.4,positive,None
We re an Etsy family,1456283161546182661,45,2021-11-04 15:32:16,Twitter for iPhone,193,5,0.0,neutral,None
Affirm v Paypal doesn t end,1456282539262365696,31,2021-11-04 15:29:48,TweetDeck,131,2,0.0,neutral,None
Those who sold Etsy last night and this morning didn t read the memo Our club memo It s a remarkable company that has no supply chain problems they don t apply as much to handmade and vintage goods,1456280904574382093,201,2021-11-04 15:23:18,TweetDeck,112,3,0.31666666666666665,positive,None
this is a tough issue and i hear you I have been out front that the oil companies have to change I don t cover coal But you raise the right thoughts thank you so much,1456267364425605133,201,2021-11-04 14:29:30,TweetDeck,47,0,0.03227513227513227,wpositive,None
monster,1456266878972694532,31,2021-11-04 14:27:34,TweetDeck,97,10,0.0,neutral,None
Paypal sellers still Can t lift yet,1456266799243161607,42,2021-11-04 14:27:15,TweetDeck,184,9,0.0,neutral,None
QCOM we called it up ten that this one wasn t done Up 20 is my estimate,1456256536410533889,78,2021-11-04 13:46:28,TweetDeck,82,5,0.0,neutral,None
I do a what i am looking at bulletin every day that had only been available to a close knit group of people You can get it now if you join the club,1456251926866239488,150,2021-11-04 13:28:09,TweetDeck,161,5,0.2,wpositive,None
KD inexpensive would love more growth sooner,1456251705688002564,51,2021-11-04 13:27:17,TweetDeck,28,3,0.5,positive,None
QCOM and KD coming right up,1456244865705054210,28,2021-11-04 13:00:06,TweetDeck,60,5,0.2857142857142857,wpositive,None
Yeah QCOM was great that s going to move the highest end chips Think Marvell which has been resting Come on join us,1456193187110916103,147,2021-11-04 09:34:45,TweetDeck,62,3,0.8,spositive,None
You have to understand the way institutions think There have been gigantic sellers of V MA PYPL and GPN betting the growth is over and it s all going to be Affirm Upstart Klarna Stripe I like all of those buy i am not buying the negativity Right here right here,1456192936484524034,274,2021-11-04 09:33:45,TweetDeck,274,22,0.2857142857142857,wpositive,None
I can see the buyers of Paypal PYPL and Visa V making an early morning stand Could this be the line in the sand that the buyers are looking for including our investment club We bought some Paypal here this week Was Pinterest really the end of this great company s growth,1456192552697221127,280,2021-11-04 09:32:13,TweetDeck,193,9,0.3666666666666667,positive,Visa
Neither ROKU nor ETSY were as weak as them media portrayed them to be,1456082230082785286,74,2021-11-04 02:13:51,TweetDeck,219,11,-0.375,negative,None
Costco was so blow away that it s hard to comprehend doing that much business The trust has owned COST forever and we wish we had more,1456082049857634314,138,2021-11-04 02:13:08,TweetDeck,487,23,0.1361111111111111,wpositive,Costco
Powell may be right again watch oil,1456016618358812680,39,2021-11-03 21:53:07,TweetDeck,493,31,0.2857142857142857,wpositive,None
It s an honor to have on tonight You can t have the greatest business on the planet without a planet and she s working hard to preserve ours,1455988662261493765,201,2021-11-03 20:02:02,Twitter for iPhone,333,21,0.35416666666666663,positive,None
the mall retailers are extraordinary in light of the simon property group numbers We like AEO for the investment club but they are all soaring,1455988343003652096,145,2021-11-03 20:00:46,TweetDeck,67,1,0.3666666666666667,positive,None
I do expect the sellers of Paypal and Mastercard and Visa to be back tomorrow they are just lapping up the buy programs but they have some left and like the terrible traders they are they are not using the buy programs to offload stock,1455984657992982529,238,2021-11-03 19:46:08,TweetDeck,160,8,-0.3333333333333333,negative,"Mastercard, Visa"
i am not a house man for Jay Powell but he really is pretty damned good and is the peoples Chief How DO we know if workers don t return in droves,1455981388100952065,151,2021-11-03 19:33:08,TweetDeck,181,8,0.475,positive,None
I would take profits in the oils for the moment,1455980966070169602,49,2021-11-03 19:31:27,TweetDeck,348,19,0.0,neutral,None
Is this the collapse of oil that Larry Williams predicted last week He said there would be one last gasp and then kaboom This could be the kaboom Brutal sell off Gives Powell a break though,1455980759886540810,195,2021-11-03 19:30:38,TweetDeck,112,8,-0.2916666666666667,wnegative,None
RT Catch live at s Your Money conference November 10th at 12pm ET Register using this link,1455977985706762250,140,2021-11-03 19:19:37,Twitter for iPhone,0,7,0.13636363636363635,wpositive,None
You ve been asking about the club s take on MA and PYPL and we ve delivered Check your emails now for our latest bulletin,1455973855634366466,151,2021-11-03 19:03:12,Twitter for iPhone,89,7,0.5,positive,None
RT Just joined your Investment Club Your breakdown of earnings calls are very educational and hel,1455966089402372099,140,2021-11-03 18:32:20,Twitter for iPhone,0,1,0.325,positive,None
RT slade Thank you for this phenomenal opportunity,1455966066857873415,80,2021-11-03 18:32:15,Twitter for iPhone,0,1,0.5,positive,None
RT that call from Elaine calling you her BFF was very heart warming U have touched so many live,1455966023400763400,140,2021-11-03 18:32:05,Twitter for iPhone,0,2,0.27878787878787875,wpositive,None
Paypal will bottom when Affirm stops going up,1455954856838115337,46,2021-11-03 17:47:42,TweetDeck,382,19,0.0,neutral,None
Persistent seller of Mastercard is back again I will tell you when he has run his course He knows no bounds and will take the stock as low as he cares to which is anywhere MA investment club name,1455944440678424577,207,2021-11-03 17:06:19,TweetDeck,126,8,0.0,neutral,Mastercard
RT Great interviews Thanks Jim,1455919594179375104,72,2021-11-03 15:27:35,Twitter for iPhone,0,1,0.5,positive,None
Paypal closing in on an almost 100 point decline from its high People always ask why didn t i buy that company s stock when it was down the answer is that the sellers make it too frightening Your job as a portfolio manager is to separate fact from fear Investment club,1455903029119623169,275,2021-11-03 14:21:46,TweetDeck,961,78,-0.16518518518518518,wnegative,None
This is ZILLOW all over,1455895662768308230,72,2021-11-03 13:52:29,Twitter for iPhone,53,8,0.0,neutral,None
Activision Blizzard and Zillow extremely suboptimal,1455893462432223233,54,2021-11-03 13:43:45,TweetDeck,138,7,-0.125,wnegative,None
thorough airing of BBBY just now,1455888577880104960,36,2021-11-03 13:24:20,TweetDeck,81,9,0.0,neutral,None
watch tonight,1455845323683794946,37,2021-11-03 10:32:28,Twitter for iPhone,82,6,0.0,neutral,None
You want the substance behind the run in BBBY Bed Bath just tune in to this a m when we will have Mark Tritton the ceo,1455831340243464196,140,2021-11-03 09:36:54,TweetDeck,76,5,-0.4,negative,None
Don t touch that dial after your show We have Mark Tritton ceo BBBY Bed Bath amp Beyond about his new strategic partnership with Kroger and increased buyback which looks to move that heavily shorted stock much higher today,1455821628533874689,251,2021-11-03 08:58:18,TweetDeck,9,2,0.06212121212121211,wpositive,None
I don t think i could ever own Zillow s stock again after listening to that miserable arrogant clueless conference call last night Benchmark of suboptimal thinking,1455816052370202625,165,2021-11-03 08:36:09,TweetDeck,1504,87,-0.13333333333333333,wnegative,None
I don t know if you were able to catch either Dupont or Este Lauder on last night but if you didn t then check your club bulletins These are two of the best stories going right now in this market and they can go much higher,1455815850116722691,267,2021-11-03 08:35:21,TweetDeck,47,5,0.40714285714285714,positive,None
see you Sunday,1455709269672828930,40,2021-11-03 01:31:50,Twitter for iPhone,503,3,0.0,neutral,None
my new slogan,1455643319233613824,45,2021-11-02 21:09:46,TweetDeck,36,2,0.13636363636363635,wpositive,None
gamestop bbby amc EL DD wowza and then zillow ugh,1455642899606130688,59,2021-11-02 21:08:06,TweetDeck,507,24,0.0,neutral,None
i am in total agreement i know the sellers aren t done They are endless and they have no price sensitivity And we will tell club members we will keep chipping away at it but you are dead right And thanks for weighing in,1455640142128066575,263,2021-11-02 20:57:09,TweetDeck,1,0,0.03214285714285714,wpositive,None
Sorry i said Zillow was Z it is ZG otherwise i stand by what i said when i blasted them when they went into house flipping How embarrassing,1455639739512627204,145,2021-11-02 20:55:33,TweetDeck,204,14,-0.55,negative,None
Thank you i know we blasted them at the time they make this silly foray GO BIRDS Z,1455638340670300172,125,2021-11-02 20:49:59,TweetDeck,37,1,-0.55,negative,None
that was the trade BBBY,1455638131550654471,52,2021-11-02 20:49:09,TweetDeck,26,3,0.0,neutral,None
So proud that we didn t bail on Tritton he spoke when the quarter came up short He didn t duck us Always a fantastic sign for a ceo BBBY Look at that one run Avis CAR short gaffe and now BBBY Like AMC and GME,1455637832198938625,223,2021-11-02 20:47:58,TweetDeck,64,5,0.30000000000000004,positive,None
Mark Tritton rewarded us he said he would and he did BBBY tough long now very tough short,1455633994951843840,99,2021-11-02 20:32:43,TweetDeck,84,10,-0.2361111111111111,wnegative,None
I love Costco big charitable trust name but can someone tell me why investors buy it up ever day I hope October was strong for their sakes,1455612079092678656,167,2021-11-02 19:05:38,TweetDeck,54,0,0.38333333333333336,positive,Costco
You will like tonight s,1455611713391403013,63,2021-11-02 19:04:11,TweetDeck,32,3,0.0,neutral,None
Still trying to figure out if the sellers of investment club name Paypal will ever find a level where they are sated reminds me of the CVS sellers in the 50s Remember those clowns,1455611535095705607,184,2021-11-02 19:03:28,TweetDeck,116,5,0.0,neutral,None
Dutch Bros finally getting hit I never understand why the bankers don t just let BROS insiders sell Would be good for all,1455611244841521155,125,2021-11-02 19:02:19,TweetDeck,53,1,0.35,positive,None
Wake me when this idiotic sellers are done taking Mastercard down ten I do think it is a shame that the company isn t buying every share But that s not up to me,1455599450748030985,163,2021-11-02 18:15:27,TweetDeck,191,8,-0.2740740740740741,wnegative,Mastercard
The fear in Visa Mastercard reminds me of the tug of war scene in Squid Games where everyone s a loser There are multiple sellers trying to get ahead of some sort of downgrade that may be chimerical The smell of fear is palpable and noisome,1455596545051664394,245,2021-11-02 18:03:54,TweetDeck,140,14,0.0,neutral,"Visa, Mastercard"
Just shared our post earnings take on DuPont with club members the stock s up nearly 9 a lot of things to cover in this report Sign up for our research,1455596310770462727,185,2021-11-02 18:02:58,Twitter for iPhone,31,2,0.1,wpositive,None
I am watching the sellers of MA today They are relentless and afraid They are selling like little children running to their mothers Either that or they are number 456,1455593471096524803,170,2021-11-02 17:51:41,TweetDeck,208,8,-0.39375,negative,None
RT just wanted to thank you My name is Lenny and I was on your show Mad Money on Tuesday and asked the question about,1455587452383604741,140,2021-11-02 17:27:46,Twitter for iPhone,0,2,-0.625,snegative,None
RT reder Just wanted to thank you for all of your earnings breakdowns for your club members They are awesome Got me to p,1455587396574236680,140,2021-11-02 17:27:33,Twitter for iPhone,0,1,1.0,spositive,None
RT I have to say again These bulletins are great value and are free For someone who does not have cable for sani,1455587129141170177,140,2021-11-02 17:26:29,Twitter for iPhone,0,2,0.6000000000000001,spositive,None
In a similar vein i wrote that Dupont was making the right moves when it was down 4 Again that s my what i am looking at a memo i have done every day for ten years that is now available only to staff members and members of the investment club,1455586889906458629,272,2021-11-02 17:25:32,TweetDeck,35,1,0.08835978835978836,wpositive,None
many of you do not know what we are bringing with the investing club including a morning look at what i am thinking about Today you got a note about how insane it was that Este Lauder was down big the call was a good one,1455586040601792519,250,2021-11-02 17:22:10,TweetDeck,53,3,0.00888888888888888,wpositive,None
Can you believe those clowns who sold Este Lauder s stock this morning down 9 Club members were well aware of what would happen here by subscribing I think that one trade shows you the real value of this product Subscribe,1455555284735303681,252,2021-11-02 15:19:57,TweetDeck,73,6,0.09814814814814814,wpositive,None
Simon Properties borrows at 1 8 okay great company but money is too cheap Margin money is too cheap,1455526735475351568,108,2021-11-02 13:26:30,TweetDeck,147,4,0.525,positive,None
the authority,1455523578431037440,40,2021-11-02 13:13:58,TweetDeck,62,5,0.0,neutral,None
No more Greenwash the ratings agencies are all over carbon neutral and credibility how are the oil companies doing this downgrade XOM today late to the party Truist,1455523461892386817,171,2021-11-02 13:13:30,TweetDeck,66,6,-0.275,wnegative,None
Investment Club owns a position in Dupont We will have full wall to wall coverage of the meaning of the changes and acquisitions,1455459532742791172,130,2021-11-02 08:59:28,TweetDeck,124,5,0.35,positive,None
We got so many great questions for our Twitter Spaces that we want to compile them into one space with ALL of your questions at a date coming soon stay tuned,1455312210415308800,159,2021-11-01 23:14:04,Twitter for iPhone,226,15,0.65,spositive,None
charbooterie,1455168704308781059,36,2021-11-01 13:43:49,Twitter for iPhone,256,3,0.0,neutral,None
RT It s benign and benign is good I m looking for oil to peak here says on the markets I m searching for neg,1455164299865960450,140,2021-11-01 13:26:19,TweetDeck,0,11,0.7,spositive,None
Tesla goes up on nothing Can you imagine if there were some news,1455164004486234120,66,2021-11-01 13:25:08,TweetDeck,1537,71,0.0,neutral,Tesla
A lot to watch this pre market check your bulletins,1455162836800483332,79,2021-11-01 13:20:30,Twitter for iPhone,71,3,0.0,neutral,None
Gamestop COO leaving after seven months Probably nothing Go Apes,1455148803263287296,69,2021-11-01 12:24:44,TweetDeck,791,35,0.0,neutral,None
see you next Halloween,1455115516595605513,46,2021-11-01 10:12:28,Twitter for iPhone,185,1,0.0,neutral,None
all cookies,1455115410651635716,35,2021-11-01 10:12:03,Twitter for iPhone,191,1,0.0,neutral,None
until next year,1455115342427066378,39,2021-11-01 10:11:47,Twitter for iPhone,276,6,0.0,neutral,None
you hate waking up knowing you need 28 from Mahomes because you played Gage and sat Boyd,1455079392347045888,88,2021-11-01 07:48:55,TweetDeck,208,5,-0.8,snegative,None
RT Bumble Bees in Saint Andrews Scotland Booyah Jim LOVE the CNBC Investors Club Happy Haloween,1454937295241555968,140,2021-10-31 22:24:17,Twitter for iPhone,0,4,0.65,spositive,None
Jimmy Chill so thrilled to be with kids together they are usually far flung Thanks so much Great to go to a terrific place for pumpkins outside of Stockton NJ,1454922228211007489,187,2021-10-31 21:24:25,TweetDeck,115,3,0.2833333333333333,wpositive,None
ready at our house,1454915756752318466,43,2021-10-31 20:58:42,Twitter for iPhone,438,7,0.2,wpositive,None
last night landed Go Birds,1454852363471265796,62,2021-10-31 16:46:47,Twitter for iPhone,143,5,0.0,neutral,None
fave emoji,1454806448827998213,35,2021-10-31 13:44:21,Twitter for iPhone,386,8,0.0,neutral,None
happy halloween,1454806286374166528,42,2021-10-31 13:43:42,Twitter for iPhone,630,10,0.8,spositive,None
the day,1454805951668756482,32,2021-10-31 13:42:22,Twitter for iPhone,448,9,0.0,neutral,None
happy halloween,1454631789226565634,40,2021-10-31 02:10:18,Twitter for iPhone,645,11,0.8,spositive,None
getting house ready,1454621890736164865,45,2021-10-31 01:30:58,Twitter for iPhone,637,16,0.2,wpositive,None
RT Amazing,1454605289840336901,46,2021-10-31 00:25:01,Twitter for iPhone,0,22,0.6000000000000001,spositive,None
this is scary,1454604968078548995,38,2021-10-31 00:23:44,Twitter for iPhone,427,18,-0.5,negative,None
that kind of great day i hope you all can hang out with fam blessed here,1454564939310456833,101,2021-10-30 21:44:40,Twitter for iPhone,2466,31,0.7,spositive,None
getting ready for our favorite holiday,1454536521478987778,63,2021-10-30 19:51:45,Twitter for iPhone,283,5,0.35,positive,None
happy halloween,1454528707385831424,40,2021-10-30 19:20:42,Twitter for iPhone,1047,19,0.8,spositive,None
feast,1454238636862545920,30,2021-10-30 00:08:04,Twitter for iPhone,2488,32,0.0,neutral,None
RT We want to get everyone to be part of this revolution It s a critical part of the future discusses a new in,1454178315338649603,140,2021-10-29 20:08:22,Twitter for iPhone,0,3,0.04545454545454545,wpositive,None
RT Jimmie Thank You for starting the Investment Club The in depth Analysis of each stock you own or Buy is Priceless Tha,1454175082318860290,140,2021-10-29 19:55:31,Twitter for iPhone,0,2,0.5333333333333333,positive,None
RT It was a great note and a must read for sure Thanks Jim,1454173086182514690,89,2021-10-29 19:47:35,Twitter for iPhone,0,3,0.5,positive,None
RT Agree The note was very insightful Thank you for providing it,1454173080532791301,95,2021-10-29 19:47:34,Twitter for iPhone,0,1,0.2,wpositive,None
the club has a great note out on Abbvie which has long been one of our favorites,1454171446314520576,107,2021-10-29 19:41:04,TweetDeck,76,4,0.375,positive,None
Apple own it don t trade it the shortages are not as important as demand mantra,1454135951748476929,109,2021-10-29 17:20:02,TweetDeck,190,16,0.5,positive,Apple
RT Another great show tonight Jim Thanks so much,1454132232885612548,75,2021-10-29 17:05:15,Twitter for iPhone,0,1,0.39999999999999997,positive,None
RT Thanks for your great work on Ford Nothing better than being early AND right,1454132096625225729,110,2021-10-29 17:04:42,Twitter for iPhone,0,1,0.3771428571428571,positive,None
RT CEO Kevin Johnson live on this morning from Seattle discussing earnings with and,1454109609027948548,140,2021-10-29 15:35:21,TweetDeck,0,3,0.13636363636363635,wpositive,None
come on next week and talk about it,1454109544938868737,93,2021-10-29 15:35:06,TweetDeck,0,0,0.0,neutral,None
bosa thank you so much for the shout out Branding ipos have been a disaster,1454109349262004233,84,2021-10-29 15:34:19,TweetDeck,9,0,0.2,wpositive,None
RT Facebook is not building the metaverse They are building FOR the metaverse i e the metaverse shouldn t be viewed,1454082086135021569,140,2021-10-29 13:45:59,Twitter for iPhone,0,41,0.0,neutral,Facebook
RT New FAANG acronym That s easy MANAA if you own them it s better than bread from Heaven,1454077689892065285,117,2021-10-29 13:28:31,TweetDeck,0,4,0.4174242424242424,positive,None
I like this thinking Conscription,1454077556815171585,61,2021-10-29 13:27:59,TweetDeck,56,4,0.0,neutral,None
Amazon Apple Meta all covered by our club bulletins this morning sign up,1454077266280030208,104,2021-10-29 13:26:50,TweetDeck,46,4,0.0,neutral,"Amazon, Apple"
i love the meta so big,1454075091449524225,25,2021-10-29 13:18:11,TweetDeck,698,47,0.25,wpositive,None
I had this bizarre dream last night that AJ Green didn t turn around in the end zone and Rasul Douglas who NEVER did anything good for the Eagles picked it off It was a nightmare i am trying to shake it off and that Ertz who plays for my FF team was open Terrible dream,1453990466748305414,272,2021-10-29 07:41:55,TweetDeck,195,8,-0.01666666666666668,wnegative,None
She just upped it to a steak dinner at Root s the best in New Jersey I am too stunned to object,1453929301607428096,99,2021-10-29 03:38:52,TweetDeck,308,10,0.5681818181818181,positive,None
I just lost a dinner bet with my daughter she wants Dominos i ll take it what a game,1453928449790328835,92,2021-10-29 03:35:29,TweetDeck,526,12,-0.1,wnegative,None
Bye Bye FAANG hello happiness or hello MAMAA,1453839037836443653,47,2021-10-28 21:40:12,TweetDeck,905,95,0.7,spositive,None
Should you buy Meta Just sent our take out to club members,1453838827546611712,86,2021-10-28 21:39:22,Twitter for iPhone,66,4,0.0,neutral,None
Okay we will have much on the missing 6b in sales and we are still looking for the missing sales with Amazon,1453824995835195395,111,2021-10-28 20:44:24,TweetDeck,173,10,0.07499999999999998,wpositive,Amazon
I wonder whether people will buy Paypal now that the worst of the news regarding the Ebay Paypal break up can be conjectured,1453809470845464577,124,2021-10-28 19:42:42,TweetDeck,152,5,0.0,neutral,None
You don t want to be teleported I just want to play three dimensional rummikub with my three dimensional wife in Lisbon Call me in Meta,1453792533859995655,138,2021-10-28 18:35:24,TweetDeck,196,15,0.19444444444444442,wpositive,None
Cynics you will say Facebook can run but it can t hide like Ali as i said today but that s not the point This is not social media and while Meta is a short mouthful i like it Charitable Trust remains a shareholder since 64 CNBC com investingclub,1453788913877884934,256,2021-10-28 18:21:01,TweetDeck,98,4,0.033333333333333326,wpositive,Facebook
the brokers for the sellers of Paypal Mastercard and Visa might try to nail them at the low to demonstrate how they didn t butcher the stocks on the way out Hilarious but it s the way the game is played,1453788040145612804,206,2021-10-28 18:17:33,TweetDeck,59,4,0.25,wpositive,"Mastercard, Visa"
I first heard of a version of the metaverse from Jensen Huang ceo of Nvidia If you have an allergic reaction to Mark Zuckerberg remember the software hardware driving force that is Nvidia,1453787287448428544,190,2021-10-28 18:14:34,TweetDeck,168,8,0.010416666666666676,wpositive,None
